Prix,old_price,Type,pays,region,Title,Rating,voyageurs,rooms,bed,bathroom,period_start,period_end
2 089 € ,4 178 €,Cabane perchée,Belgique,Stavelot,Cabane perchée l'Écureuil,"5,0 ·",2 voyageurs, · 1 chambre, · 1 salle de bain et 1 toilette,Superhôte,31/07/2024,31/08/2024
868 € ,1 550 €,appartement,Belgique,Anvers,Petit studio dans le centre d'Anvers,"4,40 ·",1 voyageur, · Studio, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 893 € ,5 260 €,appartement,Belgique,Oostende,"La mer, la plage, les vues, le confort et le style","5,0 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 438 € ,1 798 €,appartement en résidence,Belgique,Anvers,Appartement en ville d'Anvers (2p),"4,73 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 034 € ,2 542 €,appartement,Belgique,Namur,Les Balcons Mosans,"4,75 ·",4 voyageurs, · 1 chambre, · 1 salle de bain,Nouvel hôte,31/07/2024,31/08/2024
1 618 € ,2 697 €,appartement en résidence,Belgique,Aartselaar,Appartement calme et entièrement équipé et TERRASSE DE 75 M2,"4,77 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
1 544 € ,2 573 €,appartement,Belgique,Spa,Le 42,"4,91 ·",4 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 956 € ,5 375 €,maison d'hôtes,Belgique,Lasne,"Lasne-Ohain, Calme et confort","4,95 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
2 001 € ,2 858 €,appartement,Belgique,Ixelles,Appartement entièrement équipé 70 m2,"5,0 ·",4 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
570 € ,950 €,Chambre,Belgique,Mons,Maison en colocation proche du centre-ville.,"4,33 ·",3 chambres, · Salle de bain partagée,Superhôte, · Hôte depuis 12 ans,31/07/2024,31/08/2024
1 497 € ,2 170 €,suite,Belgique,Wezembeek-Oppem,Ravissant studio aux portes de Bruxelles,"4,90 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain privée,31/07/2024,31/08/2024
2 058 € ,2 480 €,appartement en résidence,Belgique,Watermaal-Bosvoorde,"Appartement de luxe, parking gratuit","4,84 ·",4 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
1 581 € ,2 635 €,bungalow,Belgique,Hastière,Laissez-vous enchanter par la vallée de la Meuse,"4,88 ·",3 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 438 € ,1 798 €,appartement,Belgique,Ans,Apparemment style loft,"4,63 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
1 581 € ,2 635 €,bungalow,Belgique,Hastière,Laissez-vous enchanter par la vallée de la Meuse,"4,88 ·",3 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 957 € ,2 796 €,appartement,Belgique,Schaarbeek,"Appartement d'architecte, remis à neuf, 65m2","4,95 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 438 € ,1 798 €,appartement,Belgique,Ans,Apparemment style loft,"4,63 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
1 730 € ,2 582 €,appartement en résidence,Belgique,Anvers,Dormir dans une ancienne cave à vin design,"4,94 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 185 € ,2 571 €,appartement,Belgique,Dinant,"Appartement ""Decognac""","4,93 ·",3 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
2 906 € ,3 875 €,hébergement,Belgique,Tervuren,Maison meublée 4 chambres avec jardin,"5,0 ·",4 voyageurs, · 4 chambres, · 4 lits, · 4 salles de bain,31/07/2024,31/08/2024
1 581 € ,2 108 €,appartement,Belgique,Bruxelles,"STUDIO DANSAERT, Sainte Catherine BRUXELLES","4,20 ·",2 voyageurs, · Studio, · 1 salle de bain,Hôte depuis 4 ans,31/07/2024,31/08/2024
698 € ,1 485 €,Chambre,Belgique,Silly,Le Mont à vignes,"4,95 ·",3 chambres, · 6 lits, · Salle de bain partagée,Hôte depuis 7 ans,31/07/2024,31/08/2024
2 767 € ,4 339 €,appartement,Belgique,Uccle,Chez George - Duplex 2 chambres & terrasse,"5,0 ·",4 voyageurs, · 2 chambres, · 3 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 920 € ,3 840 €,appartement,Belgique,Froidchapelle,Ultra confortable et spacieux,"4,81 ·",4 voyageurs, · 2 chambres, · 1 salle de bain,Hôte depuis 1 an,31/07/2024,31/08/2024
1 364 € ,1 705 €,appartement,Belgique,Montigny-le-Tilleul,Appartement confortable au calme,"5,0 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
2 260 € ,2 659 €,appartement,Belgique,Dinant,"Appartement ""L'Emeraude""","4,93 ·",4 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
